[2019-03-03 00:07:35Z] 00000062-AgebullMac:Background:4A3H-EZAZAPYA4B-Y2RNZJASLS > UserManage : UserCenter/User/v1/state/enable(Enable)
[2019-03-03 00:07:35Z] 00000063-AgebullMac:Background:4A3H-NH1F34iPXB-3H26RP91F6 > UserManage : UserCenter/User/v1/edit/eid(EntityType)
[2019-03-03 00:07:35Z] 00000064-AgebullMac:Background:4A3H-T2756Y0X91-J49YDY4JYH > UserManage : UserCenter/User/v1/edit/list(List)
[2019-03-03 00:07:35Z] 00000065-AgebullMac:Background:4A3H-C0KYMBQWK4-S9LTAiGN30 > UserManage : UserCenter/User/v1/edit/details(Details)
[2019-03-03 00:07:35Z] 00000066-AgebullMac:Background:4A3H-iURXQ374XA-DBWWA8B33i > UserManage : UserCenter/User/v1/edit/addnew(AddNew)
[2019-03-03 00:07:35Z] 00000067-AgebullMac:Background:4A3H-MWBYFHA7DU-1JC23A18WX > UserManage : UserCenter/User/v1/edit/update(Update)
[2019-03-03 00:07:35Z] 00000068-AgebullMac:Background:4A3H-MZMV3FW3V0-1BNKR4MMD9 > UserManage : UserCenter/User/v1/edit/delete(Delete)
[2019-03-03 00:07:35Z] 00000069-AgebullMac:Background:4A3H-AM34WSKFN8-AR0FNSZSiB > UserManage : sys/person/v1/edit/tree(Tree)
[2019-03-03 00:07:35Z] 0000006A-AgebullMac:Background:4A3H-5TWGAF0E2K-0B2MVN4L89 > UserManage : sys/person/v1/audit/deny(AuditDeny)
[2019-03-03 00:07:35Z] 0000006B-AgebullMac:Background:4A3H-ABZQ5GWTAA-554HQWZ4FB > UserManage : sys/person/v1/audit/pullback(Pullback)
[2019-03-03 00:07:35Z] 0000006C-AgebullMac:Background:4A3H-E6KKVYY9QY-UMLViCPL8C > UserManage : sys/person/v1/audit/submit(SubmitAudit)
[2019-03-03 00:07:35Z] 0000006D-AgebullMac:Background:4A3H-9W1M3ENLDY-PM2HRUE9W3 > UserManage : sys/person/v1/audit/validate(Validate)
[2019-03-03 00:07:35Z] 0000006E-AgebullMac:Background:4A3H-YSH3W5C46V-E04TY0JZKN > UserManage : sys/person/v1/audit/pass(AuditPass)
[2019-03-03 00:07:35Z] 0000006F-AgebullMac:Background:4A3H-3iNW0HVZi9-iKP8NHL41A > UserManage : sys/person/v1/audit/redo(UnAudit)
[2019-03-03 00:07:35Z] 00000070-AgebullMac:Background:4A3H-3P8WKPJWMA-3iJR8V5H4S > UserManage : sys/person/v1/audit/back(BackAudit)
[2019-03-03 00:07:35Z] 00000071-AgebullMac:Background:4A3H-XDVHHWR1R7-B7WT55HK9N > UserManage : sys/person/v1/state/reset(Reset)
[2019-03-03 00:07:35Z] 00000072-AgebullMac:Background:4A3H-HS5HH1K6RS-XE6C54CE9T > UserManage : sys/person/v1/state/lock(Lock)
[2019-03-03 00:07:35Z] 00000073-AgebullMac:Background:4A3H-6ALKARANJV-K3MJYV1W2S > UserManage : sys/person/v1/state/discard(Discard)
[2019-03-03 00:07:35Z] 00000074-AgebullMac:Background:4A3H-6HXPYRWJ16-5ZUBQEA2XS > UserManage : sys/person/v1/state/disable(Disable)
[2019-03-03 00:07:35Z] 00000075-AgebullMac:Background:4A3H-UTD9RNLMU8-UWA2i0Z2PT > UserManage : sys/person/v1/state/enable(Enable)
[2019-03-03 00:07:35Z] 00000076-AgebullMac:Background:4A3H-FQP3SPFNUW-VMQ4FD75CK > UserManage : sys/person/v1/edit/eid(EntityType)
[2019-03-03 00:07:35Z] 00000077-AgebullMac:Background:4A3H-J79iGBiQ9L-Y3AP489GSW > UserManage : sys/person/v1/edit/list(List)
[2019-03-03 00:07:35Z] 00000078-AgebullMac:Background:4A3H-8L7YFN17UU-3iDGZ75CZ3 > UserManage : sys/person/v1/edit/details(Details)
[2019-03-03 00:07:35Z] 00000079-AgebullMac:Background:4A3H-S5XF18GJXU-9SJT3JMYB3 > UserManage : sys/person/v1/edit/addnew(AddNew)
[2019-03-03 00:07:35Z] 0000007A-AgebullMac:Background:4A3H-Y43C5RYN9U-CL4CTMP9SP > UserManage : sys/person/v1/edit/update(Update)
[2019-03-03 00:07:35Z] 0000007B-AgebullMac:Background:4A3H-2MN7UT0iPV-DFFCGXAZ95 > UserManage : sys/person/v1/edit/delete(Delete)
[2019-03-03 00:07:35Z] 0000007C-AgebullMac:Background:4A3H-A4PUWR459T-52LUiT5DTP > FindZeroObjects : C:\Projects\Agebull\AgebullDesigner\demo\src\Web\bin\Debug\netcoreapp2.2\Auth.ManageApi.dll
[2019-03-03 00:07:35Z] 0000007D-AgebullMac:Background:4A3H-0MMKFKXWWD-KVFK9JYK3Z > Discove : AppManage.ManageApi, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
[2019-03-03 00:07:35Z] 0000007E-AgebullMac:Background:4A3H-MKAV6i5J6J-620MSLKi9W > AppManage : RegistZeroObject
